amfi_code,benchmark,alpha,beta
100016,NIFTY 100 TRI,,
100016,NIFTY 50 TRI,,
100025,NIFTY 100 TRI,,
100025,NIFTY 50 TRI,,
100033,NIFTY 100 TRI,,
100033,NIFTY 50 TRI,,
101206,NIFTY 100 TRI,,
101206,NIFTY 50 TRI,,
101207,NIFTY 100 TRI,,
101207,NIFTY 50 TRI,,
101208,NIFTY 100 TRI,,
101208,NIFTY 50 TRI,,
102885,NIFTY 100 TRI,,
102885,NIFTY 50 TRI,,
102886,NIFTY 100 TRI,,
102886,NIFTY 50 TRI,,
102887,NIFTY 100 TRI,,
102887,NIFTY 50 TRI,,
118632,NIFTY 100 TRI,,
118632,NIFTY 50 TRI,,
118633,NIFTY 100 TRI,,
118633,NIFTY 50 TRI,,
118634,NIFTY 100 TRI,,
118634,NIFTY 50 TRI,,
118635,NIFTY 100 TRI,,
118635,NIFTY 50 TRI,,
118636,NIFTY 100 TRI,,
118636,NIFTY 50 TRI,,
119092,NIFTY 100 TRI,,
119092,NIFTY 50 TRI,,
119093,NIFTY 100 TRI,,
119093,NIFTY 50 TRI,,
119094,NIFTY 100 TRI,,
119094,NIFTY 50 TRI,,
119095,NIFTY 100 TRI,,
119095,NIFTY 50 TRI,,
119120,NIFTY 100 TRI,,
119120,NIFTY 50 TRI,,
119551,NIFTY 100 TRI,,
119551,NIFTY 50 TRI,,
119552,NIFTY 100 TRI,,
119552,NIFTY 50 TRI,,
119598,NIFTY 100 TRI,,
119598,NIFTY 50 TRI,,
119599,NIFTY 100 TRI,,
119599,NIFTY 50 TRI,,
120503,NIFTY 100 TRI,,
120503,NIFTY 50 TRI,,
120504,NIFTY 100 TRI,,
120504,NIFTY 50 TRI,,
120505,NIFTY 100 TRI,,
120505,NIFTY 50 TRI,,
120506,NIFTY 100 TRI,,
120506,NIFTY 50 TRI,,
120507,NIFTY 100 TRI,,
120507,NIFTY 50 TRI,,
120841,NIFTY 100 TRI,,
120841,NIFTY 50 TRI,,
120842,NIFTY 100 TRI,,
120842,NIFTY 50 TRI,,
120843,NIFTY 100 TRI,,
120843,NIFTY 50 TRI,,
120844,NIFTY 100 TRI,,
120844,NIFTY 50 TRI,,
125497,NIFTY 100 TRI,,
125497,NIFTY 50 TRI,,
125498,NIFTY 100 TRI,,
125498,NIFTY 50 TRI,,
148567,NIFTY 100 TRI,,
148567,NIFTY 50 TRI,,
148568,NIFTY 100 TRI,,
148568,NIFTY 50 TRI,,
148569,NIFTY 100 TRI,,
148569,NIFTY 50 TRI,,
149322,NIFTY 100 TRI,,
149322,NIFTY 50 TRI,,
149323,NIFTY 100 TRI,,
149323,NIFTY 50 TRI,,
149324,NIFTY 100 TRI,,
149324,NIFTY 50 TRI,,
