amfi_code,CVaR_95,VaR_95
100016,-0.0167683214614361,-0.0128835489319086
100025,-0.0045806565073636,-0.0033376131495872
100033,-0.0218498433971642,-0.0169016251707669
101206,-0.0160751205894651,-0.0121734298068636
101207,-0.0302885385568958,-0.0239146208561452
101208,-0.0003708882610842,-0.0002184446720203
102885,-0.0143813010387,-0.0110471802367232
102886,-0.0217706338210718,-0.0168570521713031
102887,-0.017963512958246,-0.013743344236293
118632,-0.0163277250703263,-0.0123334690772055
118633,-0.0155420968624788,-0.0120656814752304
118634,-0.0299396189490177,-0.022809809042508
118635,-0.0149382886398392,-0.0110334667227099
118636,-0.0045406871188527,-0.0033443895621997
119092,-0.0161661519445035,-0.0126928764873275
119093,-0.0163316901029856,-0.0125878533319868
119094,-0.0223745287848111,-0.0169965419127909
119095,-0.0296900397274172,-0.0232836026636224
119120,-0.0046182148514803,-0.0034288462269041
119551,-0.015229577496502,-0.0118268416353189
119552,-0.0160782078560222,-0.0121290389371426
119598,-0.0284442714060108,-0.0215019214967689
119599,-0.0301628585454934,-0.0231554334634532
120503,-0.0160996926532534,-0.0121332367159483
120504,-0.0162256068096663,-0.0125312552948188
120505,-0.0223631980288979,-0.0162240873034172
120506,-0.0177924961962961,-0.0130053522645663
120507,-0.0003253526256203,-0.0001957293873949
120841,-0.0152485749256113,-0.0117249667593448
120842,-0.0212506879491723,-0.0169499389221962
120843,-0.0171141021538991,-0.0133274851732115
120844,-0.0003620891285341,-0.0002038147642592
125497,-0.0169644852068222,-0.0125018604570288
125498,-0.0214838321751508,-0.0167623635659818
148567,-0.0163431975227424,-0.0126073967419432
148568,-0.017383918582139,-0.0133126951551131
148569,-0.0198515105103116,-0.015259046371143
149322,-0.0169951721129298,-0.0129554466425167
149323,-0.0209026576862566,-0.0158659847992174
149324,-0.0285725316764459,-0.021520304253189
