amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code,cagr_1yr,cagr_3yr,cagr_5yr,sharpe,sortino,max_drawdown,mdd_start,mdd_end,alpha,beta,r_value,p_value,stderr,rank_cagr_3yr,rank_sharpe,rank_alpha,rank_expense_inv,rank_mdd_inv,fund_score,fund_score_rank
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1996-09-11,NIFTY 100 TRI,1.55,1.0,500,1000,Rahul Baijal,Moderate,,-0.02224270997710287,0.01292649342495622,,-0.20151706755966936,-0.3510474601523089,-0.24734440880673303,2022-03-30,2022-09-15,,,,,,35.0,35.0,,-32.0,-7.0,29.75,38.0
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,2002-06-25,CRISIL Short Term Bond Index,0.56,0.5,500,1000,Anil Bamboli,Low,,0.03704968580461343,0.039163899571040384,,-0.5670947928476846,-0.9418212366054204,-0.04308263824636349,2023-05-23,2023-07-28,,,,,,34.0,39.0,,-2.0,-37.0,31.749999999999996,36.0
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-06-25,NIFTY Midcap 150 TRI,1.38,1.0,500,1000,Chirag Setalvad,High,,0.5323239623092084,0.32442459421956116,,1.093698743534631,1.8291339615146942,-0.16217208574644848,2022-03-11,2022-05-12,,,,,,4.0,7.0,,-16.0,-21.0,72.625,3.0
101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2002-08-30,NIFTY 100 TRI,1.6,1.0,500,1000,Mahesh Patil,Moderate,,0.4792412023860102,0.2896769452874166,,1.0272133278753695,1.799562874698452,-0.11291596329323073,2023-04-24,2023-07-05,,,,,,9.0,9.0,,-36.0,-32.0,57.56250000000001,15.0
101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-05-31,BSE 250 SmallCap TRI,1.53,1.0,500,1000,Mircea Ciobanu,Very High,,-0.23986031710270628,-0.04152381044854481,,0.16266076928646772,0.27664379626092334,-0.3544691649336603,2024-11-21,2026-05-11,,,,,,39.0,28.0,,-28.0,-3.0,33.4375,34.0
101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2000-04-17,CRISIL Liquid Fund AI Index,0.79,0.0,500,5000,Maneesh Dangi,Low,,0.0723664530138024,0.06315784491375509,,-0.8155673679088263,-1.681037866751281,-0.0016224980244717857,2023-09-05,2023-09-12,,,,,,31.0,40.0,,-11.0,-38.0,29.75,38.0
102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,2000-03-06,NIFTY 50 TRI,1.57,0.0,500,1000,Sharwan Kumar Goyal,Moderate,,0.20207703983094838,0.1966726206830185,,0.8170993373494367,1.4357420130649492,-0.1085986215250232,2022-02-03,2022-03-29,,,,,,18.0,16.0,,-34.0,-34.0,46.875,24.0
102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-04-07,NIFTY Midcap 150 TRI,1.51,1.0,500,1000,V Srivatsa,High,,-0.16797480944407306,-0.007674063178547241,,-0.20583160785470309,-0.34722230254727265,-0.2800112356639287,2025-01-07,2026-04-27,,,,,,37.0,36.0,,-24.0,-6.0,30.6875,37.0
102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2005-05-18,NIFTY 500 TRI,1.64,1.0,500,1000,Ajay Tyagi,Moderately High,,0.135831349444816,0.25556187904126526,,0.6195175900829828,1.0887552508030016,-0.21539827112383225,2022-01-03,2022-07-04,,,,,,13.0,22.0,,-39.0,-11.0,50.5625,20.0
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2004-08-08,NIFTY 100 TRI,1.51,1.0,500,1000,Sailesh Raj Bhan,Moderate,,0.339810484550213,0.22652359830098634,,1.0816591793457042,1.850132546855726,-0.17414075086657232,2024-01-02,2024-07-19,,,,,,14.0,8.0,,-24.0,-18.0,62.4375,11.0
