amfi_code,HHI,category,risk_grade,scheme_name
119092,0.20644766999999997,Large Cap,Moderate,Axis Bluechip Fund - Regular - Growth
101207,0.20070043000000004,Small Cap,Very High,ABSL Small Cap Fund - Regular - Growth
119599,0.17475095999999996,Small Cap,Very High,SBI Small Cap Fund - Direct Plan - Growth
102885,0.17470902,Index,Moderate,UTI Nifty 50 Index Fund - Regular - Growth
118632,0.1682982,Large Cap,Moderate,Nippon India Large Cap Fund - Regular - Growth
148568,0.16792973,Large & Mid Cap,Moderately High,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120505,0.15757036,Mid Cap,High,ICICI Pru Midcap Fund - Regular - Growth
120506,0.1537936,Value,Moderately High,ICICI Pru Value Discovery Fund - Regular - Growth
125498,0.15241397999999998,Mid Cap,High,HDFC Mid-Cap Opportunities Fund - Direct - Growth
120841,0.14968035000000002,Large Cap,Moderate,Kotak Bluechip Fund - Regular - Growth
148569,0.14939641999999997,ELSS,High,Mirae Asset Tax Saver Fund - Regular - Growth
100033,0.14759225999999998,Mid Cap,High,HDFC Mid-Cap Opportunities Fund - Regular - Growth
149323,0.14162096,Mid Cap,High,DSP Midcap Fund - Regular - Growth
120503,0.14087026,Large Cap,Moderate,ICICI Pru Bluechip Fund - Regular - Growth
100016,0.13953386,Large Cap,Moderate,HDFC Top 100 Fund - Regular Plan - Growth
148567,0.13858417,Large Cap,Moderate,Mirae Asset Large Cap Fund - Regular - Growth
125497,0.13658554,Large Cap,Moderate,HDFC Top 100 Fund - Direct Plan - Growth
119094,0.13640591,Mid Cap,High,Axis Midcap Fund - Regular - Growth
118635,0.13594414999999999,Index/ETF,Moderate,Nippon India ETF Nifty 50 BeES
149322,0.13439797,Large Cap,Moderate,DSP Top 100 Equity Fund - Regular - Growth
